"NR.CRT","Capitol","Subcapitol","Situația Clinică","Tip","Examen","Indicație","Grad Indicație","Comentarii","Alte informații","Doza Min","Doza Max"
1,"Pediatrie","Aparat digestiv","Absența scaunului la nou-născut – lipsa eliminării meconiului","G","Rg abdominală simplă","Indicat","A","Evidențiază ileusul meconial, reducerea pneumatizarii intestinale, poate ridica suspiciune de boală Hirschsprung ",,1,1
2,"Pediatrie","Aparat digestiv","Absența scaunului la nou-născut – lipsa eliminării meconiului","X","Irigografie","Doar în cazuri particulare","A","Evidențiază microcolon -în ileus meconial, în boala Hirschsprung si alte  situații clinice. Efect terapeutic în ileus meconial prin utilizarea de Gastrografin ®, Manitol, etc.",,2,2
3,"Pediatrie","Aparat digestiv","Absența scaunului la nou-născut – malformație anorectală","E","Ecografie abdominala si perineala","Indicat","A","Efectuată de medici cu expertiză, poate evidenția pozitia sacului rectal față de anus, apreciind distanța până la tegument și raportul cu sfincterul, poate evidenția fistula rectoperineală, alte anomalii care pot însoți această malformație (tractul urinar, canalul spinal, coccisul)",,0,0
4,"Pediatrie","Aparat digestiv","Absența scaunului la nou-născut – malformație anorectală","G","Rg abdominală simplă","Indicat","A","Cu marker cutanat si riglă se poate măsura distanța de la fundul de sac rectal până la tegument. Uneori apar erori de interpretare în condițiile existenței de meconiu aderent la nivelul rectului distal, efectuării prea precoce a radiografiei, poziționării incorecte a marcajului opac sau omiterii factorului de magnificație în radiografia digitală.","S-a renunțat la radiografia în pozitie anti-ortostatică (invertograma), traumatizantă. Se efectuează radiografie de profil, cu raza orizontală, în decubit ventral, cu rulou sub bazin (după minim 30 min de procubit si la minim 12 (24) ore după naștere. Marker opac de 2-3 mm plasat pe punctul anal, în pliul interfesier!",1,1
5,"Pediatrie","Aparat digestiv","Absența scaunului la nou-născut – malformație anorectală","X","Cistografie mictionala","Doar în cazuri particulare","A","Poate evidenția fistula rectovezicală sau alte malformații asociate celei anorectale",,2,2
6,"Pediatrie","Aparat digestiv","Absența scaunului la nou-născut – malformație anorectală","M","IRM ","Doar cu aviz specializat","A","IRM asigură detalii anatomice complexe privind poziția pungii rectale și prezența sau dezvoltarea complexului muscular sfincterian. IRM spinal evaluează anomaliile vertebromedulare asociate iar IRM renourinar evaluează anomaliile aparatului urinar.",,0,0
7,"Pediatrie","Aparat digestiv","Absența scaunului la nou-născut – malformație anorectală","X","Irigografia pe colostoma (Colostograma distala)","Doar cu aviz specializat","A","Se realizează inițial în decubit lateral, apoi în incidența de față, pentru a se evidenția prezența fistulelor rectoperineale, rectovezicale, rectouretrale, etc.și aprecierea dimensiunilor rectale și a distanței de la rect până la perineu",,2,2
8,"Pediatrie","Aparat digestiv","Apendicită","E","Ecografie","Indicat","A","Ecografia are o bună valoare predictivă pozitivă (de confirmare a diagnosticului) în cazul unui tablou clinic sugestiv; valoarea predictivă negativă este mai mică (excluderea diagnosticului de apendicită nu trebuie sa fie o indicație de ecografie).","Cazurile de apendicită tipice clinic nu necesită imagistică. Ecografia ajută la diagnosticul diferențial. Diagnosticul de abdomen acut este de asemenea clinic.",0,0
9,"Pediatrie","Aparat digestiv","Apendicită","G","Rg abdominală simplă","Doar în cazuri particulare","C","Neindicată de rutină. Poate furniza date suplimentare în unele cazuri, în particular când vizualizarea ecografică e nesatisfăcătoare sau neconcluzivă. ",,1,1
10,"Pediatrie","Aparat digestiv","Apendicită","T","CT","Doar cu aviz specializat","C","Utilă la copii supraponderali, în caz de discordanțe între clinică și ecografie sau în caz de complicații.",,2,3
11,"Pediatrie","Aparat digestiv","Constipaţie","X","Irigografie","Doar cu aviz specializat","B","Dacă este suspectată boala Hirschsprung, pot fi utile clisma baritată, rectomanometria şi biopsia rectală.",,2,2
12,"Pediatrie","Aparat digestiv","Constipaţie","E","Ecografie","Neindicat","C","Importanţa constatărilor radiologice nu a fost demonstrată. Poate fi cerută părerea unui specialist.",,0,0
13,"Pediatrie","Aparat digestiv","Constipaţie","G","Rg abdominală simplă","Neindicat","C","Importanţa constatărilor radiologice nu a fost demonstrată. Poate fi cerută părerea unui specialist.",,1,2
14,"Pediatrie","Aparat digestiv","Durere abdominală cu examen clinic normal","G","Rg abdominală simplă","Doar în cazuri particulare","C","Radiografia abdominală simplă este utilă doar în prezenţa semnelor care orientează diagnosticul spre o patologie chirurgicală (simptomatolgie de ocluzie)",,1,1
